date,start_date,end_date,brand,interview_mode,sample_size,primary_vote_lnp,primary_vote_alp,primary_vote_grn,primary_vote_onp,primary_vote_uap,primary_vote_oth,primary_vote_und,twopp_vote_alp,twopp_vote_lnp
14–17 Jul 2021,2021-07-14,2021-07-17,Newspoll-YouGov,Online,1506,0.39,0.39,0.1,0.03,,0.09,0,0.47,0.53
05-Jul-21,2021-07-05,2021-07-05,Essential,Online,0,0.37,0.36,0.08,0.04,,0.05,0.08,0.44,0.48
23–26 Jun 2021,2021-06-23,2021-06-26,Newspoll-YouGov,Online,1513,0.41,0.37,0.11,0.03,,0.08,0,0.49,0.51
21-Jun-21,2021-06-21,2021-06-21,Essential,Online,0,0.38,0.36,0.1,0.04,,0.05,0.07,0.45,0.47
"12–13, 19–20 Jun 2021",2021-06-13,2021-06-20,Roy Morgan,Telephone/online,2782,0.415,0.345,0.12,0.035,,0.085,0,0.495,0.505
13-Jun-21,2021-06-13,2021-06-13,Resolve Strategic,Online,1600,0.4,0.36,0.1,0.03,,0.12,0,0,0
07-Jun-21,2021-06-07,2021-06-07,Essential,Online,0,0.38,0.35,0.1,0.04,,0.07,0.07,0.44,0.48
"29–30 May, 5–6 Jun 2021",2021-05-29,2021-06-06,Roy Morgan,Telephone/online,2817,0.4,0.355,0.115,0.03,,0.1,0,0.49,0.51
2–5 Jun 2021,2021-06-02,2021-06-05,Newspoll-YouGov,Online,1516,0.41,0.36,0.11,0.03,,0.09,0,0.5,0.5
24-May-21,2021-05-24,2021-05-24,Essential,Online,0,0.37,0.35,0.1,0.03,,0.06,0.08,0.44,0.48
12–16 May 2021,2021-05-12,2021-05-16,Resolve Strategic,Online,1622,0.39,0.35,0.12,0.02,,0.13,0,0,0
12–15 May 2021,2021-05-12,2021-05-15,Newspoll-YouGov,Online,1506,0.41,0.36,0.12,0.02,,0.09,0,0.49,0.51
10-May-21,2021-05-10,2021-05-10,Essential,Online,0,0.38,0.36,0.09,0.03,,0.06,0.08,0.44,0.48
26-Apr-21,2021-04-26,2021-04-26,Essential,Online,0,0.39,0.34,0.1,0.04,,0.06,0.07,0.46,0.46
21–24 Apr 2021,2021-04-21,2021-04-24,Newspoll-YouGov,Online,1514,0.41,0.38,0.1,0.03,,0.08,0,0.49,0.51
16-Apr-21,2021-04-16,2021-04-16,Resolve Strategic,CATI/online,2000,0.38,0.33,0.12,0.06,,0.11,0,0,0
12-Apr-21,2021-04-12,2021-04-12,Essential,Online,0,0.37,0.36,0.1,0.03,,0.07,0.07,0.45,0.48
29-Mar-21,2021-03-29,2021-03-29,Essential,Online,0,0.39,0.36,0.08,0.03,,0.07,0.07,0.46,0.47
24–27 Mar 2021,2021-03-24,2021-03-27,Newspoll-YouGov,Online,1517,0.4,0.38,0.11,0.02,,0.09,0,0.48,0.52
15-Mar-21,2021-03-15,2021-03-15,Essential,Online,0,0.38,0.34,0.09,0.03,,0.08,0.07,0.47,0.47
"6–7, 13–14 Mar 2021",2021-03-06,2021-03-13,Roy Morgan,Telephone/online,2747,0.41,0.345,0.125,0.025,,0.095,0,0.495,0.505
10–13 Mar 2021,2021-03-10,2021-03-13,Newspoll-YouGov,Online,1521,0.39,0.39,0.1,0.03,,0.09,0,0.48,0.52
01-Mar-21,2021-03-01,2021-03-01,Essential,Online,0,0.37,0.34,0.09,0.04,,0.08,0.07,0.45,0.48
17–20 Feb 2021,2021-02-17,2021-02-20,Newspoll-YouGov,Online,1504,0.42,0.37,0.1,0.03,,0.08,0,0.5,0.5
15-Feb-21,2021-02-15,2021-02-15,Essential,Online,0,0.39,0.35,0.08,0.04,,0.07,0.06,0.47,0.47
"6–7, 13–14 Feb 2021",2021-02-06,2021-02-14,Roy Morgan,Telephone/online,2786,0.4,0.345,0.13,0.035,,0.09,0,0.495,0.505
27 Jan–1 Feb 2021,2021-01-27,2021-02-01,Essential,Online,1092,0.37,0.35,0.1,0.03,,0.07,0.08,0.44,0.47
27–30 Jan 2021,2021-01-27,2021-01-30,Newspoll-YouGov,Online,1512,0.42,0.36,0.1,0.03,,0.09,0,0.5,0.5
18-Jan-21,2021-01-18,2021-01-18,Essential,Online,0,0.4,0.33,0.1,0.03,,0.07,0.07,0.48,0.45
14-Dec-20,2020-12-14,2020-12-14,Essential,Online,0,0.37,0.35,0.08,0.04,,0.07,0.09,0.45,0.46
30-Nov-20,2020-11-30,2020-11-30,Essential,Online,0,0.41,0.33,0.08,0.04,,0.06,0.08,0.49,0.43
25–28 Nov 2020,2020-11-25,2020-11-28,Newspoll-YouGov,Online,1511,0.43,0.36,0.11,0.02,,0.08,0,0.51,0.49
16-Nov-20,2020-11-16,2020-11-16,Essential,Online,0,0.38,0.35,0.09,0.04,,0.06,0.07,0.45,0.47
"14–15, 21–22 Nov 2020",2020-11-14,2020-11-22,Roy Morgan,Telephone/online,2824,0.42,0.34,0.12,0.04,,0.08,0,0.505,0.495
4–7 Nov 2020,2020-11-04,2020-11-07,Newspoll-YouGov,Online,1510,0.43,0.35,0.11,0.03,,0.08,0,0.51,0.49
02-Nov-20,2020-11-02,2020-11-02,Essential,Online,0,0.39,0.35,0.09,0.03,,0.05,0.09,0.44,0.46
14–19 Oct 2020,2020-10-14,2020-10-19,Essential,Online,0,0.39,0.35,0.09,0.03,,0.07,0.08,0.48,0.45
12-Oct-20,2020-10-12,2020-10-12,Essential,Online,0,0.4,0.33,0.09,0.03,,0.05,0.09,0.47,0.44
8–10 Oct 2020,2020-10-08,2020-10-10,Newspoll-YouGov,Online,1527,0.44,0.34,0.11,0.03,,0.08,0,0.52,0.48
05-Oct-20,2020-10-05,2020-10-05,Essential,Online,0,0.39,0.34,0.09,0.05,,0.06,0.07,0.47,0.46
21-Sep-20,2020-09-21,2020-09-21,Essential,Online,0,0.41,0.31,0.1,0.04,,0.05,0.09,0.49,0.42
16–19 Sep 2020,2020-09-16,2020-09-19,Newspoll-YouGov,Online,2068,0.43,0.34,0.12,0.03,,0.08,0,0.51,0.49
07-Sep-20,2020-09-07,2020-09-07,Essential,Online,0,0.38,0.32,0.1,0.03,,0.09,0.08,0.45,0.47
26–29 Aug 2020,2020-08-26,2020-08-29,Newspoll-YouGov,Online,1507,0.41,0.36,0.11,0.03,,0.09,0,0.5,0.5
24-Aug-20,2020-08-24,2020-08-24,Essential,Online,0,0.39,0.35,0.09,0.04,,0.06,0.07,0.47,0.45
10-Aug-20,2020-08-10,2020-08-10,Essential,Online,0,0.38,0.34,0.09,0.04,,0.05,0.1,0.46,0.44
"8–9, 15–16 Aug 2020",2020-08-08,2020-08-15,Roy Morgan,Telephone/online,2841,0.46,0.325,0.11,0.03,,0.075,0,0.54,0.46
5–8 Aug 2020,2020-08-05,2020-08-08,Newspoll-YouGov,Online,1509,0.43,0.33,0.11,0.04,,0.09,0,0.52,0.48
23–26 Jul 2020,2020-07-23,2020-07-26,Essential,Online,1058,0.38,0.35,0.09,0.04,,0.06,0.08,0.45,0.47
"11–12, 18–19 Jul 2020",2020-07-11,2020-07-19,Roy Morgan,Telephone/online,2589,0.435,0.335,0.11,0.025,,0.095,0,0.515,0.485
15–18 Jul 2020,2020-07-15,2020-07-18,Newspoll-YouGov,Online,1850,0.44,0.34,0.1,0.04,,0.08,0,0.53,0.47
13-Jul-20,2020-07-13,2020-07-13,Essential,Online,1054,0.37,0.34,0.1,0.04,,0.06,0.09,0.45,0.46
29-Jun-20,2020-06-29,2020-06-29,Essential,Online,1079,0.39,0.33,0.09,0.04,,0.06,0.08,0.47,0.45
24–27 Jun 2020,2020-06-24,2020-06-27,Newspoll-YouGov,Online,1521,0.42,0.35,0.11,0.03,,0.09,0,0.51,0.49
22-Jun-20,2020-06-22,2020-06-22,Essential,Online,1079,0.39,0.33,0.1,0.05,,0.06,0.07,0.48,0.46
"13–14, 20–21 Jun 2020",2020-06-13,2020-06-21,Roy Morgan,Telephone/online,2593,0.425,0.345,0.105,0.04,,0.085,0,0.505,0.495
